,name,industry,key_process,product_solution
61,promobroker agente de seguros y de fianzas s a de c v,insurance,Asset Management,SG Lyxor AP
69,state farm,insurance,Asset Management,SG Lyxor AP
126,allstate,insurance,Asset Management,SG Lyxor AP
131,axa,insurance,Asset Management,SG Lyxor AP
172,farmers insurance,insurance,Asset Management,SG Lyxor AP
175,metlife,insurance,Asset Management,SG MyHedge
183,liberty mutual insurance,insurance,Asset Management,SG MyHedge
202,aig,insurance,Asset Management,SG MyHedge
232,travelers,insurance,Asset Management,SG MyHedge
246,aflac,insurance,Asset Management,SG MyHedge
257,aetna,insurance,Asset Management,SG MyHedge
279,humana,insurance,Asset Management,SG MyHedge
303,nationwide insurance,insurance,Asset Management,SG Lyxor AP
353,lic,insurance,Asset Management,SG Lyxor AP
411,progressive insurance,insurance,Asset Management,SG Lyxor AP
413,"anthem, inc.",insurance,Asset Management,SG Lyxor AP
434,chubb,insurance,Asset Management,SG MyHedge
512,generali,insurance,Asset Management,SG MyHedge
533,geico,insurance,Asset Management,SG MyHedge
573,zurich insurance company ltd,insurance,Asset Management,SG MyHedge
618,american family insurance,insurance,Asset Management,SG MyHedge
628,mapfre,insurance,Asset Management,SG MyHedge
635,marsh,insurance,Asset Management,SG MyHedge
725,state farm agent,insurance,Asset Management,SG Lyxor AP
824,aia,insurance,Asset Management,SG Lyxor AP
892,arthur j. gallagher & co.,insurance,Asset Management,SG MyHedge
966,swiss re,insurance,Asset Management,SG MyHedge
1028,lic of india,insurance,Asset Management,SG MyHedge
1034,anthem,insurance,Asset Management,SG MyHedge
1138,icici prudential life insurance company limited,insurance,Asset Management,SG MyHedge
1162,"blue cross and blue shield of illinois, montana, new mexico, oklahoma & texas",insurance,Asset Management,SG MyHedge
1174,assurant,insurance,Asset Management,SG MyHedge
1246,javier orensans. productor asesor de seguros,insurance,Asset Management,SG Lyxor AP
1296,allianz insurance,insurance,Asset Management,SG Lyxor AP
1368,hdfc life,insurance,Asset Management,SG Lyxor AP
1404,zurich north america,insurance,Asset Management,SG Lyxor AP
1409,china life insurance co.ltd,insurance,Asset Management,SG Lyxor AP
1492,sedgwick,insurance,Asset Management,SG Lyxor AP
1497,qbe insurance,insurance,Asset Management,SG Lyxor AP
1519,axa en france,insurance,Asset Management,SG Lyxor AP
1522,unum,insurance,Asset Management,SG Lyxor AP
1562,bajaj allianz general insurance co. ltd.,insurance,Asset Management,SG MyHedge
1591,rsa,insurance,Asset Management,SG MyHedge
1722,porto seguro,insurance,Asset Management,SG MyHedge
1756,iag,insurance,Asset Management,SG MyHedge
1757,liberty group south africa,insurance,Asset Management,SG MyHedge
1778,hub international,insurance,Asset Management,SG MyHedge
1785,max life insurance company limited,insurance,Asset Management,SG MyHedge
1791,mutual of omaha,insurance,Asset Management,SG Lyxor AP
1838,generali italia s.p.a.,insurance,Asset Management,SG Lyxor AP
1840,bnp paribas cardif,insurance,Asset Management,SG Lyxor AP
1862,blue cross blue shield of michigan,insurance,Asset Management,SG Lyxor AP
1866,xl catlin,insurance,Asset Management,SG Lyxor AP
1916,achmea,insurance,Asset Management,SG Lyxor AP
2019,seguros sura,insurance,Asset Management,SG Lyxor AP
2048,lockton companies,insurance,Asset Management,SG MyHedge
2096,intact,insurance,Asset Management,SG MyHedge
2146,bankers life,insurance,Asset Management,SG MyHedge
2188,colonial life,insurance,Asset Management,SG MyHedge
2211,wellcare health plans,insurance,Asset Management,SG MyHedge
2227,country financial®,insurance,Asset Management,SG MyHedge
2234,cna insurance,insurance,Asset Management,SG MyHedge
2273,china pacific insurance company,insurance,Asset Management,SG Lyxor AP
2328,birla sun life insurance,insurance,Asset Management,SG Lyxor AP
2333,usi insurance services,insurance,Asset Management,SG Lyxor AP
2478,prudential indonesia (pt prudential life assurance),insurance,Asset Management,SG Lyxor AP
2733,fm global,insurance,Asset Management,SG Lyxor AP
